상호명,지점명,상권업종소분류명,시도명,시군구명,행정동명,경도,위도
커피빈코리아선릉로93길점,코리아선릉로93길점,커피전문점/카페/다방,서울특별시,강남구,역삼1동,127.0478832,37.50567504
스완카페트,,커피전문점/카페/다방,서울특별시,영등포구,대림3동,126.8977104,37.50369334
왕실,,커피전문점/카페/다방,서울특별시,중구,명동,126.9824188,37.56227361
커피빈,코리아교대점,커피전문점/카페/다방,서울특별시,서초구,서초1동,127.014217,37.49238766
고려대학교교육관쎄리오점,,커피전문점/카페/다방,서울특별시,성북구,안암동,127.0317018,37.58848499
파스쿠찌,디큐브아트센터2호점,커피전문점/카페/다방,서울특별시,구로구,신도림동,126.8884846,37.50805804
바빈스커피,,커피전문점/카페/다방,서울특별시,강남구,역삼2동,127.0366026,37.50070887
커피빈,코리아대학로대명거리점,커피전문점/카페/다방,서울특별시,종로구,혜화동,127.0001708,37.58314925
요거프레소,쌍문점,커피전문점/카페/다방,서울특별시,도봉구,쌍문2동,127.0347457,37.65872772
망고식스,명동페이리스점,커피전문점/카페/다방,서울특별시,중구,명동,126.9837281,37.56254619
카페필로네,,커피전문점/카페/다방,서울특별시,서초구,서초2동,127.0329405,37.48474827
메머드커피,,커피전문점/카페/다방,서울특별시,마포구,서교동,126.9296919,37.55459906
커피빈,코리아선릉역점,커피전문점/카페/다방,서울특별시,강남구,역삼1동,127.0482229,37.50474969
Cafe문달,,커피전문점/카페/다방,서울특별시,서초구,방배1동,126.9936692,37.48483478
대치휴게소,,커피전문점/카페/다방,서울특별시,강남구,대치4동,127.0597131,37.50032742
악스카페테리아,,커피전문점/카페/다방,서울특별시,광진구,광장동,127.1079514,37.54571833
더함,,커피전문점/카페/다방,서울특별시,은평구,불광2동,126.9275958,37.62577976
CARIBOUCOFFEE,,커피전문점/카페/다방,서울특별시,서대문구,신촌동,126.9460539,37.558864
MUNCHBEANS,,커피전문점/카페/다방,서울특별시,구로구,구로3동,126.896142,37.4865408
urbantable,,커피전문점/카페/다방,서울특별시,종로구,혜화동,126.999026,37.58240069
카페드림,역삼문화센터점,커피전문점/카페/다방,서울특별시,강남구,역삼1동,127.033358,37.49534811
chosecoffee,,커피전문점/카페/다방,서울특별시,강남구,일원본동,127.0897587,37.48483024
엘본그랑카페,현대목동점,커피전문점/카페/다방,서울특별시,양천구,목1동,126.8746818,37.52714654
스타벅스,이태원점,커피전문점/카페/다방,서울특별시,용산구,이태원1동,126.9947813,37.53430294
슬로우스텝,,커피전문점/카페/다방,서울특별시,종로구,이화동,127.0035139,37.58206924
Coffeeis...커피이즈,,커피전문점/카페/다방,서울특별시,관악구,중앙동,126.9543292,37.48579966
삼성에버랜드검찰청웰스토리카페,,커피전문점/카페/다방,서울특별시,서초구,서초3동,127.0080427,37.49494903
세움카페지점,,커피전문점/카페/다방,서울특별시,도봉구,방학1동,127.0471078,37.66870354
아라바카뜰,,커피전문점/카페/다방,서울특별시,강남구,역삼1동,127.032369,37.49486246
커피볶는집시다모,,커피전문점/카페/다방,서울특별시,은평구,응암1동,126.9210482,37.59831973
심포니커피숍,,커피전문점/카페/다방,서울특별시,마포구,대흥동,126.9456928,37.55637391
전광수커피,,커피전문점/카페/다방,서울특별시,성동구,성수1가2동,127.050274,37.54727786
토프레소,은평구청점,커피전문점/카페/다방,서울특별시,은평구,녹번동,126.9288778,37.60195914
빌리엔젤마리오아울렛,마리오아울렛,커피전문점/카페/다방,서울특별시,금천구,가산동,126.8850681,37.47843551
싱,,커피전문점/카페/다방,서울특별시,송파구,가락본동,127.1200802,37.49488154
이디야커피,신길역점,커피전문점/카페/다방,서울특별시,영등포구,신길1동,126.9180619,37.51511754
리버스로스터,,커피전문점/카페/다방,서울특별시,양천구,신월3동,126.8239463,37.53543728
캣카페,,커피전문점/카페/다방,서울특별시,종로구,종로1.2.3.4가동,126.9866583,37.5718431
placeJ,,커피전문점/카페/다방,서울특별시,광진구,능동,127.0780211,37.55383216
커피빈코리아강남역먹자골목점,코리아강남역먹자골목점,커피전문점/카페/다방,서울특별시,강남구,역삼1동,127.02728,37.50010085
커피빈,코리아현대자동차여의도점,커피전문점/카페/다방,서울특별시,영등포구,여의동,126.927277,37.52487881
쥬씨,광진구청점,커피전문점/카페/다방,서울특별시,광진구,구의1동,127.0843885,37.53847372
투썸플레이스충정로역,,커피전문점/카페/다방,서울특별시,서대문구,충현동,126.9626005,37.56056035
커피빈,코리아신촌현대백화점점,커피전문점/카페/다방,서울특별시,서대문구,신촌동,126.9358278,37.55606915
티마인드,,커피전문점/카페/다방,서울특별시,강남구,압구정동,127.0377099,37.52721788
무지개,,커피전문점/카페/다방,서울특별시,동대문구,장안1동,127.0629946,37.56621141
정원,,커피전문점/카페/다방,서울특별시,용산구,한강로동,126.9668148,37.53405256
할리스커피청계1가점,청계1가점,커피전문점/카페/다방,서울특별시,종로구,종로1.2.3.4가동,126.9847524,37.56880823
코코브루니,홍대점,커피전문점/카페/다방,서울특별시,마포구,서교동,126.9243661,37.55662305
아사녀,,커피전문점/카페/다방,서울특별시,종로구,종로1.2.3.4가동,126.9892246,37.56958546
카페플래닝스쿨,,커피전문점/카페/다방,서울특별시,광진구,구의1동,127.0835251,37.53875536
연미,,커피전문점/카페/다방,서울특별시,금천구,시흥3동,126.9037632,37.43776577
COFFEEN,,커피전문점/카페/다방,서울특별시,종로구,사직동,126.9710499,37.57578078
동호,,커피전문점/카페/다방,서울특별시,종로구,종로5.6가동,127.0040279,37.57153139
아르디카페,광화문점,커피전문점/카페/다방,서울특별시,종로구,종로1.2.3.4가동,126.977779,37.57214498
스타벅스종로3가점,종로3가점,커피전문점/카페/다방,서울특별시,종로구,종로1.2.3.4가동,126.9902072,37.57058502
남양,,커피전문점/카페/다방,서울특별시,중구,소공동,126.9784195,37.56337438
이호다방,,커피전문점/카페/다방,서울특별시,종로구,종로5.6가동,127.0013366,37.57131042
탐앤탐스커피숍,,커피전문점/카페/다방,서울특별시,중구,명동,126.9820616,37.56107214
빈스투커피,상수역점,커피전문점/카페/다방,서울특별시,마포구,서강동,126.9233032,37.54790031
커피빈,코리아강남역랭기지타워점,커피전문점/카페/다방,서울특별시,강남구,역삼1동,127.0300745,37.4965196
커피빈,코리아청담성당점,커피전문점/카페/다방,서울특별시,강남구,청담동,127.0500215,37.51990189
커피빈,코리아청담에스점,커피전문점/카페/다방,서울특별시,강남구,청담동,127.0472158,37.52524956
엔제리너스,커피여의도리버타워점,커피전문점/카페/다방,서울특별시,영등포구,여의동,126.9386113,37.51940375
보나비아티제,서울호텔점,커피전문점/카페/다방,서울특별시,중구,장충동,127.0076861,37.55774919
롯데시네마김포공항엔제리너스,,커피전문점/카페/다방,서울특별시,강서구,방화2동,126.80076,37.56595623
동네목수의작은카페,,커피전문점/카페/다방,서울특별시,성북구,삼선동,127.0076132,37.58201367
cafeIYA,,커피전문점/카페/다방,서울특별시,강남구,도곡1동,127.0368228,37.49060982
더메디라운지,,커피전문점/카페/다방,서울특별시,서초구,잠원동,127.0180697,37.5185593
미루카페,,커피전문점/카페/다방,서울특별시,성북구,삼선동,127.01646,37.59115219
수피아,,커피전문점/카페/다방,서울특별시,영등포구,대림3동,126.8948134,37.5061081
투썸플레이스압구정51케이,,커피전문점/카페/다방,서울특별시,강남구,압구정동,127.0293864,37.52433848
고디바_,가로수길점,커피전문점/카페/다방,서울특별시,강남구,신사동,127.023004,37.52100603
카페루카코리아,,커피전문점/카페/다방,서울특별시,종로구,종로1.2.3.4가동,126.9976506,37.56929689
투썸플레이스가산대성디폴리스점,가산대성디폴리스점,커피전문점/카페/다방,서울특별시,금천구,가산동,126.8769955,37.4799449
300420,,커피전문점/카페/다방,서울특별시,영등포구,문래동,126.8975254,37.51473841
코코브루니,미아점,커피전문점/카페/다방,서울특별시,성북구,길음2동,127.0287256,37.60839154
파스텔드나따,,커피전문점/카페/다방,서울특별시,동대문구,회기동,127.0514029,37.59123096
까페더블해피니스,,커피전문점/카페/다방,서울특별시,영등포구,영등포동,126.9055549,37.51718283
모리나리까페,,커피전문점/카페/다방,서울특별시,중구,회현동,126.9827945,37.55795184
카페바우하우스,,커피전문점/카페/다방,서울특별시,서초구,서초3동,127.0098083,37.47770863
엔제리너스,커피불광역점,커피전문점/카페/다방,서울특별시,은평구,대조동,126.9285949,37.6114174
요거프레소,문래점,커피전문점/카페/다방,서울특별시,영등포구,문래동,126.8861433,37.52023609
신세계푸드,,커피전문점/카페/다방,서울특별시,강남구,역삼1동,127.0321486,37.49004
후니드브로드카페,,커피전문점/카페/다방,서울특별시,동작구,신대방2동,126.9144757,37.49639694
쉬어가는모퉁이커피한잔,,커피전문점/카페/다방,서울특별시,동작구,상도1동,126.9534122,37.49722588
지붕,,커피전문점/카페/다방,서울특별시,중랑구,신내1동,127.1006067,37.60598781
카페산다,,커피전문점/카페/다방,서울특별시,관악구,낙성대동,126.9583734,37.4771132
씨티카페,,커피전문점/카페/다방,서울특별시,강남구,역삼1동,127.0328796,37.49561451
드림커피,,커피전문점/카페/다방,서울특별시,강서구,등촌3동,126.8539086,37.56124918
주스에비뉴,,커피전문점/카페/다방,서울특별시,강남구,대치1동,127.0570815,37.49195364
엠즈씨드폴바셋,여의도점,커피전문점/카페/다방,서울특별시,영등포구,여의동,126.9236956,37.52453987
카페에스비,,커피전문점/카페/다방,서울특별시,양천구,신월1동,126.833257,37.52898812
카페레인,,커피전문점/카페/다방,서울특별시,강서구,방화2동,126.8088699,37.56918292
스타벅스,신사2점,커피전문점/카페/다방,서울특별시,서초구,잠원동,127.0197628,37.51366263
153커피앤해피,,커피전문점/카페/다방,서울특별시,강북구,송중동,127.0306855,37.61184062
공차,현대백화점무역센터점,커피전문점/카페/다방,서울특별시,강남구,삼성1동,127.059745,37.50860838
나오미,,커피전문점/카페/다방,서울특별시,강남구,역삼1동,127.0320525,37.49835596
이디야커피,이마트구로점,커피전문점/카페/다방,서울특별시,구로구,구로3동,126.8978698,37.48438541
탐엔탐스,신도림테크노점,커피전문점/카페/다방,서울특별시,구로구,구로5동,126.8902076,37.50703804
카페샤빌레,등촌점,커피전문점/카페/다방,서울특별시,강서구,등촌1동,126.8646585,37.5554693
폴바셋,신문로점,커피전문점/카페/다방,서울특별시,종로구,사직동,126.9729676,37.57133733
북아현마을북까페,,커피전문점/카페/다방,서울특별시,서대문구,북아현동,126.9570243,37.55946601
화이트엔젤,,커피전문점/카페/다방,서울특별시,강동구,천호2동,127.1269691,37.5393909
투썸플레이스코엑스메가박스점,코엑스메가박스점,커피전문점/카페/다방,서울특별시,강남구,삼성1동,127.0571003,37.5129394
엠즈씨드폴바셋이대점,이대점,커피전문점/카페/다방,서울특별시,서대문구,신촌동,126.9459155,37.55824105
미스터커피로스터리,,커피전문점/카페/다방,서울특별시,금천구,가산동,126.8829102,37.47605439
에이치파이브-117,,커피전문점/카페/다방,서울특별시,용산구,효창동,126.9623212,37.53988797
상상아트홀카페,,커피전문점/카페/다방,서울특별시,강남구,대치2동,127.0653126,37.50658014
자양다방,,커피전문점/카페/다방,서울특별시,광진구,자양3동,127.065997,37.53606805
카페테지움,,커피전문점/카페/다방,서울특별시,강남구,대치2동,127.0598565,37.50151796
자니로켓카페,영등포점,커피전문점/카페/다방,서울특별시,영등포구,영등포동,126.9055549,37.51718283
코와핀,,커피전문점/카페/다방,서울특별시,동대문구,전농1동,127.0464711,37.57927942
비씨팔백,상도점,커피전문점/카페/다방,서울특별시,동작구,상도2동,126.9444867,37.50544512
어반라이프,,커피전문점/카페/다방,서울특별시,강남구,대치4동,127.0504086,37.50273991
주빈커피,,커피전문점/카페/다방,서울특별시,영등포구,여의동,126.9261637,37.52046259
CAFEDURIP,,커피전문점/카페/다방,서울특별시,송파구,잠실2동,127.0870198,37.51197604
메디찌커피숍,,커피전문점/카페/다방,서울특별시,광진구,광장동,127.1099585,37.54823841
캥스커피집,,커피전문점/카페/다방,서울특별시,광진구,중곡2동,127.0805377,37.55810474
할리스커피,선릉점,커피전문점/카페/다방,서울특별시,강남구,대치4동,127.0505138,37.50336248
